uuid,default_pred
449d78b7-6cc0-405a-8689-092ad24a620d,0.1065044
e86fca5c-0748-4f14-a87a-cc1bd418b2b4,0.45223132
e81db226-d097-41c6-9f63-28d6527b8fcb,0.060723804
024fa96a-204f-4a33-83da-dec1454806e8,0.48202866
f6bf5778-d77b-42ba-adaa-ea23de4dd554,0.138554
7198a4dd-57e2-4d3b-90a9-3af5197c80df,0.08827486
8bc24208-9e19-436d-abe3-a1dedcddb521,0.25248903
7b493c3f-6dd2-444f-bad2-76eb1f703cc0,0.4778328
77418cf7-62d3-4fbf-be6d-d830ffa48cf1,0.2443806
dbf7435b-9c6c-4b24-9069-cd2a75214edb,0.32023722
a70be3c4-e339-44bb-934d-f4c3c6aa53cc,0.011683937
e0bb3479-ddc8-40b5-8c44-9eea3cd314ca,0.2330578
5a7e9b77-6896-4238-8b74-1d918e17bc8a,0.5952934
de8b0920-0527-4b4e-9e71-55f0bfe18187,0.30481598
867cada5-47b8-473b-bb43-4edb155172c2,0.24604616
9d284851-9b1d-45f8-a36c-df91707c047e,0.44579902
8bb54487-8fc3-4009-9b77-1c27ffc5508f,0.7684064
633b7f46-d8d6-4872-8be8-86831ad98283,0.04892036
4b40e310-36ba-4f91-b542-2c1f92495154,0.5841509
64785cd9-ceb0-48b0-ba88-121039ed2f17,0.20132154
692932e4-5132-40df-b0b3-efbab449d5f6,0.052595712
8e0634df-1de9-41ff-b333-210beb1e12b7,0.32208607
ddfdf76a-28b4-4b3f-acb6-48ca41f80b1f,0.008175064
196d0b24-aa9a-42bb-8e84-2deee3ef4148,0.13272853
6de77dc3-6cb5-4dad-a3f7-e8a0cbd19ebc,0.26205838
f5900a8b-9780-4808-880c-168bbd323b3e,0.41757858
dc1f004f-55d3-4565-89cb-c5c08294f8c6,0.08819188
104f5131-8406-4605-a872-a3a0e8c4f288,0.18110323
9c759344-eb4b-43b9-b2ab-388e61c8f07d,0.39891493
97d3fc4b-d37c-42a4-96db-bbd84277edb8,0.3983073
682175b6-aef6-4d42-859e-8af624d3bf8f,0.70176756
89984ba6-bb55-4732-8ac8-26df753e617b,0.022356719
79d2ad3d-4029-4c85-aa7d-5ef9fe0b9b51,0.2542248
b5268fa1-3c73-4ee1-bab2-9cdf01dd36c7,0.13681275
df10e7af-4746-47db-acd9-1e09247bb276,0.047787983
444f7a85-1d06-4a3b-b52f-cb91a1fd09ce,0.053961616
54de5250-7e54-447b-8736-5da6884478b5,0.1362546
9d43b1cc-01a6-4a78-9122-c1ce53e9a1bd,0.2304824
2a9a8fa9-4750-4431-aa60-968fc4f5994d,0.33202234
176693e7-8186-4f74-9cd8-f47d5ac3d8be,0.019040538
5016b3a1-3ddb-4186-8ede-7992e577a6a3,0.81177086
a32201ba-9b80-4c5d-9ff5-1087423004cf,0.10856479
eb20d6d9-7e78-4715-bcb4-b926e37aa408,0.32369778
bd088b41-3d17-4446-833d-10413a0b1e92,0.15430936
4090559d-dea1-49e1-9dfa-825a5f11bfcf,0.16076684
ed3675c5-a398-4467-9afa-4712923ac6ec,0.0066669034
c3465998-f389-4269-bd2e-3707870ffa97,0.15046786
067d64ba-5a57-4845-8bee-991b8511f2b6,0.5763391
8e495c58-cda0-42f2-8956-1575b6a4db03,0.093000434
2074335f-cdb7-476c-8a90-427b428e4746,0.03545068
1ad03fbc-7c4f-41b8-b9a2-2b4203f90920,0.3303204
9aee56e1-db98-4746-80a6-a8724fdd0a46,0.32388481
6a9d1ae3-0ccb-4c08-b8e6-128c2f9546b6,0.05732958
f92f9d44-1027-4cca-8c22-036d3345384d,0.1750794
9cae62ee-2962-4f70-9f46-b318777cecf7,0.05462531
3890070a-b8b6-4214-9974-4846c23b8a73,0.14712563
70e56ecb-663e-4a5c-9b6f-18d3efc55072,0.2051594
c15fec12-ce4f-4f31-9395-c19bf57f38ab,0.18444708
9e46d2ff-cc82-4387-820c-f7a0a554d0a8,0.32110664
2a325cb4-c77d-4d1a-a7bf-9cd54525e087,0.013153164
b75305cb-db11-4265-9bf7-4b931fc13748,0.119075984
e2b9fab6-39a7-404b-9741-0501104ccc55,0.38113502
28fe4993-c792-46f0-9211-ac02b30cfddb,0.07360843
07733064-9ecf-42aa-985b-5042132ebe48,0.041699942
162ec1fd-4c17-43fb-b2b3-645bccb98a55,0.188062
4bed1de0-90ab-46ef-a92d-50aa31a518de,0.14058106
fc6e71a7-6a85-47f3-9a46-f54671bb0f1d,0.06490139
fcaef84d-dee0-45aa-b6bf-33c1230aa823,0.009634599
30664c88-8984-440d-93be-06254ec05724,0.0061477455
3affcc7d-f563-4381-b7f6-d64a6b22439b,0.24166898
9812ae32-b13d-477f-89d2-db41c2805431,0.06635777
d9d8c95b-604d-482e-976b-d817ed1afe0d,0.07290072
9b841031-042e-4f78-ad64-a6ddaabb6de5,0.03683993
2f6b141b-a082-4b4a-813c-1cbe1ad84539,0.072851464
b6f01878-dd60-45ea-b5e0-10a63990df05,0.047062464
fafa8885-a9a4-4bb6-bcb1-5644e4b2d700,0.019854464
bf465f45-c4f8-461f-a06b-72666fc78157,0.03810329
656da86f-fd4c-4196-9966-fac89f087d80,0.047204517
72638ed4-b5db-4ef0-9961-3ecc52101763,0.05359489
fe4d247c-590d-4d93-a428-9319a10a26b4,0.3335553
b720db1c-e61a-44c0-9d7e-d74fb6e0c61f,0.008371899
8029b9c3-143e-44a0-a574-98e7a6b60163,0.3997101
5075f2ae-0820-473a-97d5-f5732fd185af,0.07005831
40526fb7-bfd7-4889-bca8-d3a6554a55d6,0.02566155
55ab0dde-5eaa-4d7d-a12b-7e766f00bfb4,0.068913266
182decdd-b1c9-43b0-85cf-016708a4dcdf,0.41551688
ce168a6e-7f4b-4e7c-878c-bbf7a32927c1,0.7528929
7fc11647-79b4-4c41-90f8-d7ae1f06b4a6,0.2449723
bcadd957-8cc4-4a26-9e3f-d32d42cc5c6e,0.008861181
84132b05-55f1-48d7-9d07-434a4c1b685f,0.055609237
4476a090-2b0e-48e5-a1b1-a057292372d5,0.49112538
82c58528-fd7a-4fa9-9ec3-2a66b0f368df,0.1265075
53e53fb7-e562-4ead-a5f1-8a3db586325c,0.052113254
a229d5dd-af19-4b62-94e2-d8056d995071,0.42118344
